City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,35.26,75,0,4.61,clear sky
1,Hilo,US,19.7297,-155.09,83.25,70,50,5.01,scattered clouds
2,New Norfolk,AU,-42.7826,147.0587,58.91,57,84,7.0,light rain
3,Namatanai,PG,-3.6667,152.4333,83.57,72,20,8.57,few clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,67,75,12.66,broken clouds
5,Ketchikan,US,55.3422,-131.6461,62.28,76,100,7.18,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,74.46,82,38,18.84,light rain
7,Nalut,LY,30.3333,10.85,83.84,23,2,9.37,clear sky
8,Ilulissat,GL,69.2167,-51.1,41.54,99,100,3.94,light rain
9,Salmas,IR,38.1973,44.7653,74.39,57,5,2.06,clear sky
10,Sayyan,YE,15.1718,44.3244,63.48,51,96,2.48,overcast clouds
11,Majene,ID,-3.5403,118.9707,76.37,88,41,8.08,scattered clouds
12,Tuzha,RU,57.6062,47.936,58.5,76,63,6.24,broken clouds
13,Vila Velha,BR,-20.3297,-40.2925,73.35,73,0,3.44,clear sky
14,Ormara,PK,25.2088,64.6357,78.69,86,100,13.24,overcast clouds
15,Bathsheba,BB,13.2167,-59.5167,77.61,88,75,5.75,broken clouds
16,Shenjiamen,CN,29.9576,122.298,76.84,92,100,6.71,overcast clouds
17,Fort Nelson,CA,58.8053,-122.7002,76.59,27,40,12.66,scattered clouds
18,Hobart,AU,-42.8794,147.3294,59.25,53,0,8.01,light rain
19,Lompoc,US,34.6391,-120.4579,87.78,75,75,5.01,broken clouds
20,Amalapuram,IN,16.5833,82.0167,76.95,92,100,6.8,overcast clouds
21,Bone,DE,51.9669,12.1396,68.43,67,13,6.02,few clouds
22,Mount Isa,AU,-20.7333,139.5,67.77,34,2,8.05,clear sky
23,Vaini,TO,-21.2,-175.2,71.76,68,20,11.5,few clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,48.22,93,0,5.75,clear sky
25,Ardabil,IR,38.2498,48.2933,64.51,56,4,4.36,clear sky
26,Hithadhoo,MV,-0.6,73.0833,81.66,75,100,16.71,overcast clouds
27,Healdsburg,US,38.6105,-122.8692,112.01,18,67,6.35,broken clouds
28,Port Hardy,CA,50.6996,-127.4199,69.98,68,75,10.36,broken clouds
29,Quatre Cocos,MU,-20.2078,57.7625,69.91,77,81,19.57,light rain
30,Nioro,GM,13.35,-15.75,76.71,90,100,7.7,overcast clouds
31,Guerrero Negro,MX,27.9769,-114.0611,81.21,53,68,18.19,broken clouds
32,Punta Arenas,CL,-53.15,-70.9167,39.31,100,90,5.75,light rain
33,La Ronge,CA,55.1001,-105.2842,89.85,29,1,6.91,haze
34,Lebu,CL,-37.6167,-73.65,46.63,86,98,2.46,overcast clouds
35,Samarai,PG,-10.6167,150.6667,78.66,86,84,16.49,broken clouds
36,Van Buren,US,35.4368,-94.3483,87.33,66,97,6.04,overcast clouds
37,San Isidro,PE,-12.1167,-77.05,70.02,83,75,1.01,broken clouds
38,Arraial Do Cabo,BR,-22.9661,-42.0278,67.53,83,100,11.18,overcast clouds
39,Bilma,NE,18.6853,12.9164,93.78,24,32,7.74,scattered clouds
40,Hermanus,ZA,-34.4187,19.2345,52.9,79,0,11.48,clear sky
41,Harstad,NO,68.799,16.5293,51.58,90,39,5.57,scattered clouds
42,Byron Bay,AU,-28.65,153.6167,70.05,80,17,5.14,few clouds
43,Harper,LR,4.375,-7.7169,75.69,73,71,7.05,broken clouds
44,Clyde River,CA,70.4692,-68.5914,40.59,92,100,4.63,overcast clouds
45,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,88,30,10.89,scattered clouds
46,Homestead,US,25.4687,-80.4776,85.01,83,100,8.01,overcast clouds
47,Khatanga,RU,71.9667,102.5,53.17,64,70,5.41,broken clouds
48,Severobaykalsk,RU,55.65,109.3167,60.55,62,1,3.62,clear sky
49,Lorengau,PG,-2.0226,147.2712,83.43,77,64,10.45,broken clouds
50,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,76,5.01,broken clouds
51,Jamestown,US,42.097,-79.2353,73.09,55,1,5.99,clear sky
52,Sioux Lookout,CA,50.1001,-91.917,80.98,32,20,10.36,few clouds
53,Alyangula,AU,-13.8483,136.4192,73.27,83,40,3.44,scattered clouds
54,Mataura,NZ,-46.1927,168.8643,51.48,77,92,6.2,overcast clouds
55,Wajima,JP,37.4,136.9,75.22,81,93,9.73,overcast clouds
56,Ponta Do Sol,PT,32.6667,-17.1,74.12,57,42,1.9,scattered clouds
57,San Patricio,US,28.017,-97.5169,91.9,51,92,13.02,overcast clouds
58,Qarchi Gak,AF,37.04,66.7889,71.69,19,0,15.57,clear sky
59,Albany,US,42.6001,-73.9662,78.64,56,18,1.99,few clouds
60,Am Timan,TD,11.0297,20.2827,73.51,91,86,2.98,overcast clouds
61,Busselton,AU,-33.65,115.3333,37.09,88,1,7.81,clear sky
62,Najran,SA,17.4924,44.1277,79.45,17,52,0.85,broken clouds
63,Avarua,CK,-21.2078,-159.775,73.45,73,90,6.91,overcast clouds
64,Yuzhnouralsk,RU,54.4418,61.2536,62.38,45,8,5.28,clear sky
65,Mumford,GH,5.2618,-0.759,74.8,86,22,10.87,few clouds
66,Gotsu,JP,35.0,132.2167,75.83,83,99,11.36,overcast clouds
67,Thompson,CA,55.7435,-97.8558,84.36,45,40,13.8,scattered clouds
68,Atuona,PF,-9.8,-139.0333,78.57,79,23,19.93,few clouds
69,Sur,OM,22.5667,59.5289,85.01,63,86,8.41,overcast clouds
70,Upernavik,GL,72.7868,-56.1549,43.79,98,100,14.0,overcast clouds
71,Cidreira,BR,-30.1811,-50.2056,59.5,92,95,14.63,overcast clouds
72,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,94,15.37,overcast clouds
73,High Level,CA,58.5169,-117.136,75.31,33,75,9.22,broken clouds
74,Lamu,KE,-2.2717,40.902,74.53,86,27,15.73,scattered clouds
75,Montrose,US,38.4166,-108.2673,85.41,18,50,13.04,scattered clouds
76,Roald,NO,62.5833,6.1333,57.33,94,40,12.66,light rain
77,Tasiilaq,GL,65.6145,-37.6368,40.12,93,74,4.94,broken clouds
78,Faanui,PF,-16.4833,-151.75,78.64,72,0,4.14,clear sky
79,Bluff,NZ,-46.6,168.3333,51.8,75,97,20.54,overcast clouds
80,Rabo De Peixe,PT,37.8,-25.5833,72.91,88,75,9.22,broken clouds
81,Hualmay,PE,-11.0964,-77.6139,63.84,78,45,10.89,scattered clouds
82,Codrington,AU,-38.2667,141.9667,52.02,77,0,18.07,clear sky
83,Doha,QA,25.2867,51.5333,98.58,39,0,6.91,clear sky
84,Nieuw Nickerie,SR,5.95,-56.9833,78.13,86,57,8.48,broken clouds
85,Saint-Augustin,CA,51.226,-58.6502,65.52,91,36,6.4,scattered clouds
86,Korla,CN,41.7597,86.1469,76.6,36,87,8.95,overcast clouds
87,Chokurdakh,RU,70.6333,147.9167,42.93,74,100,13.58,overcast clouds
88,Castro,BR,-24.7911,-50.0119,53.73,95,45,3.87,scattered clouds
89,Katsuura,JP,35.1333,140.3,71.62,94,100,17.65,overcast clouds
90,Santa Marta,CO,11.2408,-74.199,82.35,82,61,6.2,broken clouds
91,Jiujiang,CN,29.7333,115.9833,72.81,99,100,3.02,overcast clouds
92,Sawakin,SD,19.1059,37.3321,91.63,48,72,3.78,broken clouds
93,Cayenne,GF,4.9333,-52.3333,81.09,83,0,3.0,clear sky
94,Cape Town,ZA,-33.9258,18.4232,53.11,81,0,1.01,clear sky
95,Mao,ES,39.8885,4.2658,79.36,100,0,4.61,clear sky
96,Khani,GE,41.9563,42.9566,62.17,96,100,0.74,overcast clouds
97,Norman Wells,CA,65.282,-126.8329,57.24,72,90,8.05,light rain
98,Barrow,US,71.2906,-156.7887,44.62,93,90,19.57,mist
99,Bredasdorp,ZA,-34.5322,20.0403,50.29,87,1,2.3,clear sky
100,Butaritari,KI,3.0707,172.7902,81.68,74,100,7.45,moderate rain
101,Pisco,PE,-13.7,-76.2167,63.01,85,25,6.98,scattered clouds
102,Nokaneng,BW,-19.6667,22.2667,65.55,36,62,11.61,broken clouds
103,Kemise,ET,10.7167,39.8667,68.83,70,2,5.61,light rain
104,Kitimat,CA,54.0524,-128.6534,71.98,89,100,1.99,moderate rain
105,Saskylakh,RU,71.9167,114.0833,51.04,57,88,5.82,overcast clouds
106,Piribebuy,PY,-25.4833,-57.05,63.75,64,24,4.29,few clouds
107,Esperance,AU,-33.8667,121.9,51.64,66,85,5.35,overcast clouds
108,Carnarvon,AU,-24.8667,113.6333,44.67,38,0,9.22,clear sky
109,Cap Malheureux,MU,-19.9842,57.6142,70.29,76,49,5.01,scattered clouds
110,Matadi,CD,-5.8167,13.45,76.6,74,50,4.23,scattered clouds
111,Cherskiy,RU,68.75,161.3,45.59,72,100,12.93,overcast clouds
112,Hirara,JP,24.8,125.2833,80.87,94,40,8.05,scattered clouds
113,Kentau,KZ,43.5206,68.5094,63.37,30,0,12.12,clear sky
114,Chuy,UY,-33.6971,-53.4616,54.54,97,99,4.56,overcast clouds
115,Brae,GB,60.3964,-1.353,55.31,89,90,13.53,overcast clouds
116,Esso,RU,55.9333,158.7,64.74,53,17,4.25,few clouds
117,Bandarbeyla,SO,9.4942,50.8122,78.03,74,68,28.14,broken clouds
118,Visby,SE,57.6409,18.296,61.86,77,40,19.57,scattered clouds
119,Nantucket,US,41.2835,-70.0995,81.01,86,38,14.9,scattered clouds
120,Marzuq,YE,14.4,46.4667,81.25,54,68,3.02,broken clouds
121,Pakxan,LA,18.3778,103.6601,74.5,99,100,6.04,light rain
122,Bennington,US,42.8781,-73.1968,78.53,70,32,7.09,scattered clouds
123,College,US,64.8569,-147.8028,53.65,65,90,4.0,overcast clouds
124,Kuala Terengganu,MY,5.3302,103.1408,78.75,89,20,3.44,few clouds
125,Ancud,CL,-41.8697,-73.8203,46.42,81,100,3.29,overcast clouds
126,Klaksvik,FO,62.2266,-6.589,50.92,95,100,8.93,overcast clouds
127,Mahebourg,MU,-20.4081,57.7,70.09,88,75,13.8,light rain
128,Hasaki,JP,35.7333,140.8333,68.4,95,100,2.46,overcast clouds
129,East London,ZA,-33.0153,27.9116,58.93,68,99,6.46,overcast clouds
130,Alice Springs,AU,-23.7,133.8833,47.75,46,0,3.44,clear sky
131,Victoria,HK,22.2855,114.1577,82.36,89,100,1.01,light rain
132,Pontalina,BR,-17.525,-49.4472,76.51,28,7,3.33,clear sky
133,Nelson Bay,AU,-32.7167,152.15,58.95,93,8,1.01,clear sky
134,Bac Lieu,VN,9.285,105.7244,80.19,81,100,2.35,light rain
135,Tombouctou,ML,20.0,-3.0,100.72,10,67,7.38,broken clouds
136,Labytnangi,RU,66.6572,66.4183,58.24,76,96,20.76,overcast clouds
137,Camopi,GF,3.1655,-52.3158,72.95,97,96,2.51,overcast clouds
138,Chernyshevskiy,RU,63.0128,112.4714,56.39,91,96,5.48,overcast clouds
139,Biak,ID,-0.9131,122.8766,76.33,83,44,7.74,scattered clouds
140,Calibutbut,PH,15.1114,120.6053,78.39,88,97,2.44,light rain
141,Conde,BR,-7.2597,-34.9075,74.66,88,0,11.5,clear sky
142,Abbeville,FR,50.1,1.8333,65.28,79,17,0.94,few clouds
143,Tungor,RU,53.3808,142.9564,66.63,59,63,11.65,broken clouds
144,Indapur,IN,18.3,73.25,76.75,85,78,2.66,broken clouds
145,Banjarmasin,ID,-3.3244,114.591,73.54,95,100,2.57,overcast clouds
146,Yellowknife,CA,62.456,-114.3525,59.52,94,90,17.27,light rain
147,Verkhnyaya Toyma,RU,62.2349,44.9985,54.55,94,66,3.89,broken clouds
148,Kapaa,US,22.0752,-159.319,87.78,68,18,5.99,few clouds
149,Torrington,US,41.8007,-73.1212,81.39,57,55,1.99,broken clouds
150,Salalah,OM,17.0151,54.0924,74.97,97,99,5.26,overcast clouds
151,Iqaluit,CA,63.7506,-68.5145,44.33,87,75,8.05,moderate rain
152,Hengshan,CN,45.2,130.9167,65.44,60,93,4.92,overcast clouds
153,Bhanvad,IN,21.9264,69.7736,79.72,77,100,14.41,overcast clouds
154,Williston,US,48.147,-103.618,98.2,19,0,1.01,clear sky
155,Gat,IL,31.61,34.7642,81.39,76,0,2.26,clear sky
156,Ibra,OM,22.6906,58.5334,81.66,57,52,1.19,broken clouds
157,Port Moresby,PG,-9.4431,147.1797,78.22,83,20,11.5,haze
158,Saint George,US,37.1041,-113.5841,104.79,21,64,5.99,broken clouds
159,Boulder City,US,35.9786,-114.8325,103.35,26,1,14.97,clear sky
160,Kurilsk,RU,45.2333,147.8833,56.82,73,42,8.28,scattered clouds
161,Mitu,CO,1.1983,-70.1733,70.3,99,99,1.39,overcast clouds
162,Sovetsk,RU,55.0839,21.8785,55.33,84,95,8.32,overcast clouds
163,Georgetown,MY,5.4112,100.3354,76.95,92,20,1.99,haze
164,Staritsa,RU,56.5075,34.9354,58.55,80,73,7.36,broken clouds
165,Leningradskiy,RU,69.3833,178.4167,36.05,96,100,18.43,overcast clouds
166,Souillac,MU,-20.5167,57.5167,70.18,88,75,13.8,light rain
167,Provideniya,RU,64.3833,-173.3,54.12,82,90,6.98,overcast clouds
168,Colac,AU,-38.3333,143.5833,51.62,76,1,12.24,clear sky
169,Kodiak,US,57.79,-152.4072,56.7,56,11,13.71,few clouds
170,Northam,GB,51.0333,-4.2167,64.02,91,100,10.76,overcast clouds
171,Uruzgan,AF,32.8333,66.0,70.12,17,0,6.46,clear sky
172,Nanortalik,GL,60.1432,-45.2371,48.56,97,100,5.7,light rain
173,Ribeira Grande,PT,38.5167,-28.7,72.28,86,52,15.9,broken clouds
174,Andenes,NO,69.3143,16.1194,49.98,81,90,20.71,overcast clouds
175,Luderitz,NA,-26.6481,15.1594,63.73,36,0,8.79,clear sky
176,Vao,NC,-22.6667,167.4833,67.64,67,77,18.23,broken clouds
177,Muroto,JP,33.2833,134.15,80.64,93,100,26.24,light rain
178,Paraiso,CR,9.8383,-83.8656,66.42,99,100,1.05,overcast clouds
179,Qaanaaq,GL,77.484,-69.3632,40.78,98,100,0.58,light rain
180,Gizo,SB,-8.103,156.8419,82.26,78,72,9.91,moderate rain
181,San Quintin,MX,30.4833,-115.95,77.27,61,0,15.88,clear sky
182,Severo-Kurilsk,RU,50.6789,156.125,57.07,78,18,9.35,few clouds
183,Coquimbo,CL,-29.9533,-71.3436,53.33,76,20,10.36,few clouds
184,Nemuro,JP,43.3236,145.575,57.36,83,77,13.78,broken clouds
185,Port Alfred,ZA,-33.5906,26.891,56.7,77,68,9.17,broken clouds
186,Raudeberg,NO,61.9875,5.1352,56.19,92,94,9.66,overcast clouds
187,Juba,SS,4.8517,31.5825,69.01,97,100,3.49,overcast clouds
188,Manokwari,ID,-0.8667,134.0833,80.44,70,95,2.42,light rain
189,Bossangoa,CF,6.4926,17.4552,69.93,97,94,3.47,overcast clouds
190,Rawson,AR,-43.3002,-65.1023,49.21,72,93,5.57,overcast clouds
191,Zhigansk,RU,66.7697,123.3711,46.53,79,100,11.36,overcast clouds
192,Qasigiannguit,GL,68.8193,-51.1922,43.38,99,100,4.5,light rain
193,Eching,DE,48.3,11.6167,70.74,94,0,1.14,clear sky
194,Deniliquin,AU,-35.5333,144.9667,48.0,59,74,8.84,broken clouds
195,Aklavik,CA,68.2191,-135.0107,63.43,45,40,3.44,haze
196,Narsaq,GL,60.9167,-46.05,51.89,88,100,3.13,light rain
197,Riyadh,SA,24.6877,46.7219,93.34,15,100,4.43,overcast clouds
198,Kruisfontein,ZA,-34.0033,24.7314,49.89,85,22,3.31,few clouds
199,Chipata,ZM,-13.6333,32.65,60.17,59,12,7.56,few clouds
200,Nome,US,64.5011,-165.4064,48.27,93,90,16.11,light rain
201,Constitucion,CL,-35.3333,-72.4167,48.43,89,100,4.74,overcast clouds
202,Nikolskoye,RU,59.7035,30.7861,62.49,98,98,5.7,light rain
203,Bethel,US,41.3712,-73.414,85.69,68,73,7.56,broken clouds
204,Sena Madureira,BR,-9.0656,-68.6569,82.71,39,94,1.61,overcast clouds
205,Kavaratti,IN,10.5669,72.642,80.94,78,93,15.73,overcast clouds
206,Krasnoshchekovo,RU,51.6708,82.7289,52.56,94,98,3.18,overcast clouds
207,Antofagasta,CL,-23.65,-70.4,58.28,83,36,5.7,scattered clouds
208,Ibotirama,BR,-12.1853,-43.2206,74.98,23,6,4.0,clear sky
209,Shimoda,JP,34.6667,138.95,79.86,92,100,19.3,overcast clouds
210,Portland,US,45.5234,-122.6762,100.94,38,62,4.18,broken clouds
211,Qaqortoq,GL,60.7167,-46.0333,49.93,97,100,5.26,light rain
212,San Juan,AR,-31.5375,-68.5364,62.24,19,25,8.03,scattered clouds
213,Santa Luzia,BR,-19.7697,-43.8514,74.3,55,20,8.05,few clouds
214,Talnakh,RU,69.4865,88.3972,52.32,87,100,8.12,overcast clouds
215,Aligudarz,IR,33.4006,49.6949,68.2,23,0,3.4,clear sky
216,Monforte De Lemos,ES,42.5216,-7.5142,64.85,94,0,2.66,clear sky
217,Vanimo,PG,-2.6741,141.3028,80.89,79,88,6.89,overcast clouds
218,Lasa,IT,46.6166,10.7002,69.03,86,77,2.89,broken clouds
219,Evanston,US,42.0411,-87.6901,80.58,42,96,1.01,overcast clouds
220,Ahuimanu,US,21.4447,-157.8378,86.77,62,12,15.39,few clouds
221,Adrar,MR,20.5022,-10.0711,97.47,16,45,6.13,scattered clouds
222,Arcachon,FR,44.5875,-1.0519,72.41,94,75,4.61,broken clouds
223,Champasak,LA,14.75,106.0,72.01,100,100,1.21,overcast clouds
224,Tahoua,NE,14.8888,5.2692,82.38,74,0,4.61,clear sky
225,Nhulunbuy,AU,-12.2333,136.7667,79.41,78,90,11.5,overcast clouds
226,Alofi,NU,-19.0595,-169.9187,75.09,64,27,17.27,scattered clouds
227,Jaciara,BR,-15.9653,-54.9683,78.78,34,0,5.39,clear sky
228,Seymchan,RU,62.8833,152.4333,57.6,63,40,17.34,scattered clouds
229,Opotiki,NZ,-38.0833,177.2833,55.15,49,3,2.95,clear sky
230,Willoughby,US,41.6398,-81.4065,75.07,62,1,8.05,clear sky
